pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta
¿Qué es lo primero que hago cuando me despierto?;Ir a bañarme;Desayunar fuerte;Levantarme para bajar la cortina;Poner música;D
¿Qué materia destruyó mi psiquis?;Cálculo Avanzado;Física II;Álgebra Lineal I;Sistemas Operativos;B
¿Cuál es el nombre de mi primera mascota?;Melek;Laika;Lando;Dobby;B
¿Cuál es el nombre de mi amor de primaria?;Sebastián;Francisco;Matías;Ignacio;A
¿Cómo se llama mi auto?;Blanquito;Fitito;Pupu;No tiene nombre;C
¿Cuál fue mi primer trabajo?;Moza;Alcanzapelota;Maestra;Pasantía;B
De estas 4 frutas... ¿cuál es la que NO me gusta?;Banana;Mandarina;Uva;Frutilla;D
¿Qué me gusta coleccionar?;Velas;Flores secas;Tazas;Llaveros;C
¿Qué hubiese estudiado si no era Ingeniería en Informática?;Diseño Gráfico;Abogacía;Contabilidad;Turismo;A
Si tengo tiempo libre, lo más probable es que me encuentres...;Durmiendo;Leyendo;En el gimnasio;Jugando al fútbol;A
¿Cuál es mi trago favorito en la barra?;Daikiri;Mojito;Fernet;Aperol;C
¿A los cuántos años me bautizaron?;1 año;2 años;9 años;14 años;C
¿Cómo terminé de romperme los meniscos?;En danza;En fútbol;Corriendo por la calle;Jugando al Twister;D
¿En qué parte del cuerpo tengo una cicatriz pegada con La Gotita?;Pie;Rodilla;Codo;Cara;D
¿Cuál es mi apodo familiar (el que solo usan en casa)?;Char;Kiki;Memi;Chicha;C
¿A qué edad empecé mi deporte favorito?;3 años;10 años;6 años;11 años;A
¿A dónde fue mi último viaje?;Punta Cana;Montevideo;Madrid;Milán;B
¿Cuál es el país que más ansío conocer en el mundo?;Alemania;Canadá;Singapur;Japón;C
¿Qué idioma enseño?;Italiano;Inglés;Español;Francés;A
¿Qué es lo que más me estresa como estudiante?;Escribir código;Que la gente piense que sé arreglar aires acondicionados;Preparar finales;Hacer trabajos en grupo;D
"¿Cuál es mi ""imperio romano"" (ese tema en el que pienso constantemente)?";Mi futura casa;Mi ex;Cómo funciona el algoritmo de Spotify;El próximo país en el que voy a vivir;D
¿De qué estaba disfrazada en esta foto?;Mimo;Carta de Alicia en el País de las Maravillas;Mickey Mouse;Minnie Mouse;B
